curso;EVENTO;PROGRAMA;CATEGORIA;FORMATO;Data de Inclusão do Curso;CARGA-HORÁRIA;MODALIDADE;SITUAÇÃO;VALOR CONTRATADO
10001/2024;Cloud Computing Fundamentals;PDS;TÉCNICA;INTERNO;07/07/2024;40;EAD;Realizado;2.150,75
10002/2024;Cybersecurity Advanced;PDS;TÉCNICA;EXTERNO;27/06/2024;32;PRESENCIAL;Realizado;3.450,50
10003/2024;Machine Learning Essentials;PDS;TÉCNICA;INTERNO;16/10/2024;36;EAD;Realizado;2.875,25
10004/2024;Português Avançado para Profissionais;PDL;PESSOAL;INTERNO;20/02/2024;30;PRESENCIAL;Realizado;1.620,00
10005/2024;Redação Administrativa;PDL;PESSOAL;INTERNO;20/05/2024;28;EAD;Não-Executado;1.350,90
10006/2024;Strategic Leadership;PDL;GERENCIAL;INTERNO;04/01/2024;30;PRESENCIAL;Realizado;3.280,40
10007/2024;Executive Decision Making;PDL;GERENCIAL;EXTERNO;05/06/2024;32;PRESENCIAL;Realizado;4.500,75
10008/2024;Change Management for Leaders;PDL;GERENCIAL;INTERNO;14/07/2024;28;EAD;;2.320,50
10009/2024;Gestão Administrativa;PDL;GERENCIAL;EXTERNO;28/04/2024;32;PRESENCIAL;Realizado;3.890,25
10010/2024;Liderança Situacional;PDL;GERENCIAL;INTERNO;18/01/2024;30;EAD;Realizado;2.540,80
10011/2024;Data Science for Business;PDS;TÉCNICA;EXTERNO;67;40;;;4.750,30
10012/2024;Team Building and Collaboration;PDL;TRANSVERSAL;INTERNO;12/02/2024;24;PRESENCIAL;Realizado;1.850,60
10013/2024;Emotional Intelligence for Executives;PDL;GERENCIAL;y;27/08/2024;28;EAD;Realizado;2.180,40
10014/2024;Network Security;;TÉCNICA;EXTERNO;27/01/2024;35;PRESENCIAL;Realizado;3.920,50
10015/2024;Coordenação de Equipes;PDL;GERENCIAL;INTERNO;02/12/2024;30;PRESENCIAL;Realizado;2.810,75
10016/2024;Database Administration;PDS;TÉCNICA;INTERNO;19/08/2024;32;EAD;Realizado;2.640,25
10017/2024;Financial Management for IT;PDL;GERENCIAL;EXTERNO;06/12/2024;30;PRESENCIAL;Realizado;4.125,90
10018/2024;Microservices Architecture;PDS;TÉCNICA;EXTERNO;10/07/2024;36;PRESENCIAL;Realizado;3.780,40
10019/2024;Comunicação Escrita Efetiva;PDL;PESSOAL;INTERNO;21/08/2024;26;PRESENCIAL;Realizado;1.520,50
10020/2024;Administração de Recursos Humanos;PDL;GERENCIAL;INTERNO;02/05/2024;32;EAD;Realizado;3.150,80
10021/2024;Container Technology with Docker;PDS;TÉCNICA;INTERNO;12/06/2024;36;EAD;Realizado;2.480,30
10022/2024;CIO Strategic Planning;PDL;GERENCIAL;EXTERNO;20/02/2024;40;PRESENCIAL;Realizado;5.200,75
10023/2024;Kubernetes Administration;PDS;TÉCNICA;EXTERNO;27/03/2024;40;PRESENCIAL;Realizado;4.320,50
10024/2024;Gestão de Processos;PDL;GERENCIAL;INTERNO;08/08/2024;35;EAD;Realizado;2.890,25
10025/2024;Enterprise Architecture;PDL;GERENCIAL;INTERNO;05/03/2024;38;PRESENCIAL;Realizado;4.560,40
10026/2024;Python Programming;PDS;TÉCNICA;EXTERNO;13/01/2024;40;EAD;Não-Executado;2.720,90
10027/2024;Desenvolvimento de Líderes;PDL;GERENCIAL;INTERNO;02/07/2024;32;PRESENCIAL;Realizado;3.840,60
10028/2024;Português Técnico;PDL;PESSOAL;EXTERNO;09/03/2024;28;EAD;Realizado;1.410,75
10029/2024;Java Development;PDS;TÉCNICA;INTERNO;01/03/2024;35;EAD;Realizado;2.550,45
10030/2024;Supervisão e Liderança;PDL;GERENCIAL;EXTERNO;26/12/2024;36;PRESENCIAL;Realizado;4.280,30
10031/2025;Full Stack Development;PDS;TÉCNICA;INTERNO;18/01/2025;40;EAD;Realizado;2.650,75
10032/2025;Transformational Leadership;PDL;GERENCIAL;EXTERNO;08/02/2025;38;PRESENCIAL;Realizado;4.920,50
10033/2025;Web Development with React;PDS;TÉCNICA;EXTERNO;27/04/2025;40;PRESENCIAL;Realizado;3.680,25
